Business Category,Business Name,Business Description,Website,Phone,Address,Email
AUTOMOTIVE,PORT MOODY RADIATORS,RADIATORS.,http://www.portmoodyradiators.com,604-461-7856,"89 MORAY ST, PORT MOODY",portmoodyrad@telus.net
HEALTH,OPTIMUM FAMILY CHIROPRACTIC INC.,Chiropractor,http://www.optimumfamily.com,778-355-3533,"7 - 121 BREW ST, PORT MOODY",info@optimumfamily.com
HEALTH,INBALANCE WELLNESS CARE,REGISTERED MASSAGE THERAPY,http://www.inbalancecare.com,604-492-1182,"210 - 221 IOCO RD, PORT MOODY",inbalancecare@gmail.com
HEALTH,"GREG JONES, RMT",REGISTERED MASSAGE THERAPY,http://www.gregjonesrmt.com,604-767-1262,"1 - 3130 ST JOHNS ST, PORT MOODY",gregjones_rmt@me.com
HEALTH,DR. H. UKANI PLASTIC SURGERY INC.,Plastic Surgeon,http://www.plasticsurgerybc.ca,604-931-1893,"201 - 2502 ST JOHNS ST, PORT MOODY",
CONTRACTORS,ELEVATE CLEANING & CONCIERGE LTD,MOBILE HOME CLEANING & CONCIERGE,http://www.elevatecleaning.ca,604-360-3775,"505A - 301 MAUDE RD, PORT MOODY",mlconde@telus.net
BUSINESS SERVICES,TEMBO DESIGN INC.,INTERIOR DESIGN.,http://www.tembodesign.com,604-939-2077,"198 CORNELL WAY, PORT MOODY",tembodesign@shaw.ca
CONTRACTORS,NEWPORT DRY DECK,GENERAL CONTRACTOR.,http://www.newportdrydeck.com,604-916-6403,"1050 ALDERSIDE RD, PORT MOODY",kerimckinney@shaw.ca
SPORT/RECREATION/TRAVEL,ORIGINS PARKOUR,PARKOUR GYM - FITNESS CENTRE,http://www.originsparkour.com,604-374-1072,"3 - 2822 SPRING ST, PORT MOODY",rene@originsparkour.com
COMPUTERS/WEB DESIGN,A3 CREATIVE SOLUTIONS,"BRANDING, WEBSITE DESIGN, GRAPHIC DESIGN",http://www.a3creative-solutions.com,778-355-4765,"201 - 3190 ST JOHNS ST, PORT MOODY",info@a3creative-solutions.com
COMPUTERS/WEB DESIGN,HYPERBRIDGE TECHNOLOGY INC,DEVELOPEING DECENTRALIZED PROTOCOLS FOR DEPLOYMENT - BLOCKHUB,http://www.hyperbridge.org,778-919-8615,"301 - 220 BREW ST, PORT MOODY",joe@hyperbridge.org
HEALTH,"DR. LUCAS MACMILLAN, NATUROPATHIC PHYSICIAN",NATUROPATHIC PHYSICIAN,http://www.portmoodyhealth.com,604-949-0077,"202 - 101 KLAHANIE DR, PORT MOODY",drmacmillan@portmoodyhealth.com
RETAIL COMMERCIAL,THE RUNNERS' DEN INC,FOOTWEAR.,http://www.runnersden.ca,604-461-8330,"239 NEWPORT DR, PORT MOODY",info@runnersden.ca
INDUSTRIAL,SC INTEGRATORS INC,INTERNATIONAL FREIGHT FORWARDING SERVICES,http://www.scintegrators.ca,604-318-2522,"301 - 220 BREW ST, PORT MOODY",ruben@scintegrators.ca
BEAUTY/ESTHETICS,DERMATECH ELECTROLYSIS,ELECTROLYSIS.,http://www.dermatechelectrolysis.com,604-461-1351,"B - 2503 ST JOHNS ST, PORT MOODY",taramurray@shaw.ca
ACCOMMODATIONS,MAINSTAY OASIS BED AND BREAKFAST,BED & BREAKFAST,http://www.mainstayoasis.com,604-315-4919,"916 ALDERSIDE RD, PORT MOODY",harbor@mainstayoasis.com
HEALTH,HEALING HANDS CHIROPRACTIC DAN DUBOIS,Chiropractor,http://www.healinghandschiropractic.ca,604-949-0340,"14 - 3130 ST JOHNS ST, PORT MOODY",hh_frontdesk@hotmail.com
SPORT/RECREATION/TRAVEL,ENGINEERED BODIES STRENGTH & CONDITIONING,PERSONAL TRAINING.,http://www.engineeredbodies.ca,604-492-3272,"4 - 2822 SPRING ST, PORT MOODY",info@engineeredbodies.ca
BUSINESS SERVICES,ZENK LAW CORPORATION,LAW OFFICE.,http://www.learnzenk.com,604-949-1655,"610 - 130 BREW ST, PORT MOODY",gwz@learnzenk.com
SPORT/RECREATION/TRAVEL,UPLIFT YOUR VIBE,LIFESTYLE AND FITNESS COACHING AND CONSULTING,http://www.upliftfitnessandlifestyle.com,778-772-8593,"604 - 95 MOODY ST, PORT MOODY",sherinachandra@hotrmail.com
HEALTH,EAGLE RIDGE DENTAL CENTRE,DENTAL OFFICE.,http://www.drstan.ca,604-461-2228,"200 - 221 IOCO RD, PORT MOODY",stan@drstan.ca
HEALTH,PORT MOODY PHYSIOTHERAPY AND SPORTS INJURY,PHYSIOTHERAPY CLINIC,http://www.portmoodyphysiotherapy.com,604-931-7122,"2624 ST JOHNS ST, PORT MOODY",portmoodyphysio@hotmail.com
BANK/FINAN/INSURA,INVIS,MORTGAGE BROKERAGE - OPERATING OUT OF THE MORTGAGE ALLIANCE,http://www.invis.ca,604-532-7400,"310 - 130 BREW ST, PORT MOODY",invis@invis.ca
PROPERTY MGMT/REAL ESTATE,50 ELECTRONIC (RESIDENTIAL) LP,PRESENTATION CENTRE FOR CONDOMINIUM SALES,http://www.50electronic.com,,"50 ELECTRONIC AVE, PORT MOODY",
FOOD & BEVERAGE,FRESHII,FRESHII FRANCHISE RESTAURANT.,http://www.freshii.com,604-942-1940,"7 - 201 MORRISSEY RD, PORT MOODY",suterbrook@freshii.com
BEAUTY/ESTHETICS,CITRUS NAIL LOUNGE LTD.,NAIL SALON.,http://www.citrusnaillounge.com,778-355-4141,"206 NEWPORT DR, PORT MOODY",citrusnail@gmail.com
INDUSTRIAL,ANDERSON PROTOTYPES,Machining and Fabricating,http://www.andersonprototypes.com,778-885-9729,"20 MOUNT ROYAL DR, PORT MOODY",andersonprototypes@gmail.com
ANIMALS,THREE DOG BAKERY,Dog Food and Treats,http://www.threedogportmoody.com,604-318-2160,"11 - 201 MORRISSEY RD, PORT MOODY",threedogvancouver@shaw.ca
AUTOMOTIVE,MAPLE IMPORT JAPAN AUTOMOTIVE INC.,Automotive Repair/New and Used Auto Parts,http://www.mapleimportjapan.com,604-492-3244,"85 WILLIAMS ST, PORT MOODY",mij@mapleimportjapan.com
HEALTH,WESTPORT DENTAL,DENTAL CLINIC,http://westportdental.com,778-355-2772,"611 - 220 BREW ST, PORT MOODY",westportdental2@gmail.com
HEALTH,SUPERDENT,DENTAL LAB,http://www.superdent.ca,604-512-3364,"1 - 86 MOODY ST, PORT MOODY",info@superdent.ca
BUSINESS SERVICES,A-COUNT ON US CONSULTING LTD.,"Accounting, bookkeeping and IT consulting",http://www.a-countonus.ca,778-355-9255,"COMPLEX - 99 MORAY ST, PORT MOODY",info@a-countonus.ca
RETAIL COMMERCIAL,HOMESTEAD FURNITURE INC,HOME FURNISHINGS AND ACCESSORIES,http://www.homesteadfurniturebc.com,604-347-9970,"3058 ST JOHNS ST, PORT MOODY",hsfbc@hotmail.com
HEALTH,BREATHING SPACE COUNSELLING,REGISTERED THERAPEUTIC COUNSELLORS ONLINE & IN PERSON,http://www.breathingspacecounselling.ca,604-379-5079,"1&2 - 2402 ST JOHNS ST, PORT MOODY",info@breathingspacecounselling.ca
BANK/FINAN/INSURA,CONCEPT GROUP FINANCIAL PLANNING LTD,Financial planning,http://www.conceptgroupfinancial.com,604-939-2345,"2222 ST JOHNS ST, PORT MOODY",info@conceptgroupfinancial.com
HEALTH,SHAUNA COXE,INTEGRATIVE BODYWORK AND CORE INTEGRATION THERAPY @ ROCKY POINT WELLNESS,http://www.rockypointwellness.com,778-355-9777,"2701 CLARKE ST, PORT MOODY",shauna@rockypointwellness.com
HEALTH,CORNERSTONES CHIROPRACTIC & COMPLEMENTARY THERAPIES,MULTI-DISCIPLINARY HEALTH CARE OFFICE,http://www.cornerstoneschiropractic.ca,604-931-7797,"305 - 2502 ST JOHNS ST, PORT MOODY",drbtyler@gmail.com
RETAIL COMMERCIAL,VIGOUR HEALTH AND BEAUTY,HEALTH AND WELLNESS PRODUCTS.,http://www.vigourlifestyle.com,604-941-0082,"253 NEWPORT DR, PORT MOODY",alfred.lam@vigourlifestyle.com
GOVERMENT SERVICES,"RICK GLUMAC, MLA",MLA CONSTITUENCY OFFICE,http://www.rickglumac.ca,604-917-0470,"2708 ST JOHNS ST, PORT MOODY",rick.glumac.mla@leg.bc.ca
MEDIA/MUSIC/ART,SPATIAL ART STUDIO,ART STUDIO.,http://www.spatialartstudio.com,604-492-2295,"C - 2415 CLARKE ST, PORT MOODY",info@spatialartstudio.com
CONTRACTORS,CENTRUM HOME COMFORT INC. DBA CENTRUM SOLUTIONS,HVAC/GAS CONTRACTOR,http://www.centrumsolutions.ca,604-492-3476,"301 SEAVIEW DR, PORT MOODY",info@centrumsolutions.ca
ANIMALS,PORT MOODY ANIMAL HOSPITAL,Animal Hospital,http://www.portmoodyanimalhospital.com,,"2 - 2810 ST JOHNS ST, PORT MOODY",
BEAUTY/ESTHETICS,SATIN LASER SPA,MEDISPA/MEDICAL ESTHETICS,http://www.satinlaserspa.com,604-259-2193,"16 - 3130 ST JOHNS ST, PORT MOODY",info@satinlaserspa.com
HEALTH,RAY CLINIC - DR. JENNY YANG,NATUROPATHIC PHYSICIAN,http://www.rayclinic.ca,604-461-7900,"3 - 201 MORRISSEY RD, PORT MOODY",dryang@rayclinic.ca
RETAIL COMMERCIAL,BEYOND THE GRAPE ON PREMISE WINEMAKING LTD.,Winemaking,http://www.beyondthegrape.com,604-461-8891,"3030 ST JOHNS ST, PORT MOODY",info@beyondthegrape.com
FOOD & BEVERAGE,THE GREEN MOUSTACHE,PLANT BASED ORGANIC CAFE,http://www.greenmoustache.com,778-355-9282,"202 NEWPORT DR, PORT MOODY",portmoody@greenmoustache.com
RETAIL COMMERCIAL,WHITE LOTUS DIVINE HEALING,HOLISTIC HEALING & RETAIL STORE,http://www.whitelotusdivinehealing.ca,604-937-5540,"2607 ST JOHNS ST, PORT MOODY",whitelotusdivinehealing@gmail.com
COMMUNITY SERVICES/EDUCATION,BRIGHTPATH PORT MOODY,DAYCARE.,http://www.brightpath.com,604-931-4999,"2750 ST JOHNS ST, PORT MOODY",portmoody@brightpathkids.com
BUSINESS SERVICES,SYNERGYASPEN ENVIRONMENTAL INC,"ENVIRONMENTAL ENGINEERING, SCIENCE AND DRAFTING",http://www.synergyaspen.ca,604-931-1026,"2328 CLARKE ST, PORT MOODY",dgorsic@synergyaspen.ca
COMMUNITY SERVICES/EDUCATION,CHILDGARDEN PRESCHOOL & DISCOVERIES,PRESCHOOL AND SCHOOL AGE GROUP CARE,http://www.childgarden.ca,604-637-9705,"B - 2625 CLARKE ST, PORT MOODY",caren@childgarden.ca
FOOD & BEVERAGE,ORIGINALS CAFE MEXICANO,CAFE.,http://www.originalscafemexicano.com,604-936-9069,"2231 CLARKE ST, PORT MOODY",
BUSINESS SERVICES,ADELE TAGIROVA NOTARY CORPORATION,NOTARY.,http://www.adelenotary.com,604-492-4414,"224 NEWPORT DR, PORT MOODY",adele@adelenotary.com
HEALTH,HEARTQUEST,COUNSELLING,http://www.heartquest.ca,604-818-1771,"16 MERCIER RD, PORT MOODY",
CONTRACTORS,TRI-TECH ELECTRICAL SERVICES LTD,ELECTRICAL CONTRACTOR.,http://www.tri-tech.bc.ca,604-833-7849,"2318 CLARKE ST, PORT MOODY",tri-tech@telus.net
INDUSTRIAL,RSM MANUFACTURING GROUP INC,WHOLESALE DISTRIBUTION OF TRAFFIC SAFETY PRODUCTS & RUBBER PRODUCTS FOR CONSTRUCTION.,http://www.rsmsafety.com,604-449-1628,"A - 3012 MURRAY ST, PORT MOODY",robm@rsmsafety.com
HEALTH,EXCEL PHYSIOTHERAPY,PHYSIOTHERAPY OFFICE.,http://www.excelphysiotherapy.com,604-461-5551,"300 IOCO RD, PORT MOODY",info@excelphysiotherapy.com
HEALTH,JUNIPER COUNSELLING LTD,REGISTERED CLINICAL COUNSELLORS,http://WWW.JUNIPERCOUNSELLING.COM,604-992-6079,"301 - 220 BREW ST, PORT MOODY",KRISTEN@JUNIPERCOUNSELLING.COM
HEALTH,"LEON, ALICE",INDIAN MEDICINE/MASSAGE.,http://www.holamassage.com,604-505-9588,"303 - 130 BREW ST, PORT MOODY",holamassage@gmail.com
CONTRACTORS,BIN86JUNK,JUNK REMOVAL & RECYCLING,http://www.bin86junk.ca,604-259-1386,"176 - 906 CLARKE RD, PORT MOODY",info@bin86junk.ca
RETAIL COMMERCIAL,POLONIA DELI,GROCERY STORE/DELI,http://www.poloniasausagehouse.com,604-721-4062,"3052 ST JOHNS ST, PORT MOODY",poloniasausage@gmail.com
HEALTH,GLORIA CHEUNG PHYSIOTHERAPIST CORP,PHYSIOTHERAPY SERVICES,http://www.gloriacheungphysio.com,604-767-1262,"1 - 3130 ST JOHNS ST, PORT MOODY",glorialaniecheung@gmail.com
COMMUNITY SERVICES/EDUCATION,MILLENNIUM LEARNING ADVANTAGE,Tutoring,http://www.millenniumlearningadvantage.com,,"201 - 2615 ST JOHNS ST, PORT MOODY",millenniumlearning@gmail.com
BANK/FINAN/INSURA,D4 LENDING CORP.,CONSUMER LENDING,http://www.caibc.ca,778-588-6858,"301 - 220 BREW ST, PORT MOODY",info@caibc.ca
CONTRACTORS,A FEW GOOD LADS LABOUR SERVICES LTD,TEMPORARY LABOUR HIRE IN CONSTRUCTION INDUSTRY,http://www.afewgoodlads.com,778-882-9863,"2109 - 660 NOOTKA WAY, PORT MOODY",info@afewgoodlads.com
RETAIL COMMERCIAL,LITTLE GYPSY'S FINE JEWELLERY,JEWELLERY RETAIL.,http://www.littlegypsysfinejewelry.com,604-931-2662,"49 QUEENS ST, PORT MOODY",littlegypsys@shaw.ca
MEDIA/MUSIC/ART,EAST-WEST SCHOOL OF MUSIC,MUSIC LESSONS.,http://www.anna-levy.com,604-936-9752,"34 SHORELINE CIR, PORT MOODY",annalevypiano@gmail.com
HEALTH,CLARITY COUNSELLING SERVICES,PERSONAL COUNSELLING SERVICES - PSYCHOTHERAPY.,http://www.psychologytoday.ca,604-240-7000,"12 PARKWOOD PL, PORT MOODY",trishstreloff@gmail.com
HEALTH,"LYNDA GREEN, RMT",REGISTERED MASSAGE THERAPY,http://www.lgrmt.com,604-330-6797,"172 COLLEGE PARK WAY, PORT MOODY",info@lgrmt.com
HEALTH,MIKE PLEDGE COUNSELLING,FAMILY & PERSONAL COUNSELLING,http://www.mikepledge.ca,604-772-1602,"820 - 220 BREW ST, PORT MOODY",mike@mikepledge.ca
COMMUNITY SERVICES/EDUCATION,KINDER KAMPUS - OLD ORCHARD,DAYCARE.,http://www.kinderkampus.ca,604-461-2233,"LEASE - 646 BENTLEY RD, PORT MOODY",oldorchard@kinderkampus.ca
CONTRACTORS,ASPENRIDGE CONSTRUCTION LTD.,CONTRACTOR,http://www.aspenridge.ca,604-781-0524,"552 LEHMAN PL, PORT MOODY",gary@aspenridge.ca
COMMUNITY SERVICES/EDUCATION,KINDER KAMPUS - PLEASANTSIDE SCHOOL,DAYCARE AND PRE-SCHOOL.,http://www.kinderkampus.ca,604-461-2236,"195 BARBER ST, PORT MOODY",pleasantside@kinderkampus.ca
HEALTH,DREAM DENTAL CENTRE,DENTAL OFFICE,http://www.dreamdentalcentre.ca,604-492-2233,"603 - 220 BREW ST, PORT MOODY",info@dreamdentalcentre.ca
HEALTH,MAXFIT MOVEMENT INSTITUTE INC.,PROFESSIONAL OFFICE.,http://www.maxfitmovement.ca,604-461-6888,"2703 CLARKE ST, PORT MOODY",info@maxfitmovement.ca
AUTOMOTIVE,TRU-LINE AUTOBODY FRAME & WHEEL,AUTOMOTIVE REPAIR SHOP,http://www.trulineauto.com,604-931-4400,"2727 MURRAY ST, PORT MOODY",truline@telus.net
SPORT/RECREATION/TRAVEL,1183716 BC LTD.,MARTIAL ARTS & FITNESS,,778-877-7114,"2920 ST JOHNS ST, PORT MOODY",mmamuaythai2018@gmail.com
RETAIL COMMERCIAL,IGA #71,RETAIL MERCHANT - GROCERY,,604-461-3373,"160 - 221 IOCO RD, PORT MOODY",filomenab@hylouie.com
RETAIL COMMERCIAL,7-ELEVEN STORE #37872,CONVENIENCE STORE,,604-949-0254,"103 IOCO RD, PORT MOODY",BETRILLA.DEES-JOHNSON@7-11.COM
HEALTH,STACEY PHILLIPS,COUNSELLING SERVICES @ ROCKY POINT WELLNESS,,604-461-9642,"2701 CLARKE ST, PORT MOODY",
FOOD & BEVERAGE,THE PARKSIDE BREWERY,BREWERY & RETAIL STORE,,604-790-7782,"2731 MURRAY ST, PORT MOODY",sam@theparksidebrewery.com
HEALTH,DR. RENEE PATENAUDE REGISTERED PSYCH,PSYCHOLOGIST @ ST JOHNS HEALTH & WELLNESS,,604-771-3214,"2226 ST JOHNS ST, PORT MOODY",drrenee@drrenee.ca
HEALTH,SUTER BROOK OPTOMETRY CLINIC,OPTOMETRY CLINIC AND OPTICAL,,604-525-1411,"2 - 101 MORRISSEY RD, PORT MOODY",portmoodyeyecare@gmail.com
RETAIL COMMERCIAL,THE LITTLE BUTCHER,Meat Store,,604-469-9274,"245 NEWPORT DR, PORT MOODY",
HEALTH,COASTAL CHIROPRACTIC & WELLNESS,CHIROPRACTIC OFFICE,,604-949-0186,"11 - 3130 ST JOHNS ST, PORT MOODY",dm_grant@telus.net
BUSINESS SERVICES,GLOBAL STRATAGEM CONSULTING,MARINE OIL SPILL CONSULTING.,,604-313-7871,"557 YALE RD, PORT MOODY",craig@stratagemconsulting.ca
FOOD & BEVERAGE,LITTLE BANGKOK THAI KITCHEN,RESTAURANT,,604-939-9962,"1 - 2335 ST JOHNS ST, PORT MOODY",
BEAUTY/ESTHETICS,REVIVE HAIR & BODY,HAIR & BODY LOUNGE,,604-492-0133,"90 KYLE ST, PORT MOODY",revivemenails@gmail.com
COMMUNITY SERVICES/EDUCATION,THE CLUB,SENIORS DROP IN CENTRE,,604-869-1342,"101 NOONS CREEK DR, PORT MOODY",
COMMUNITY SERVICES/EDUCATION,SHER-NOR HOLDINGS LTD,BEFORE AND AFTER SCHOOL CARE,,604-813-5792,"413 GLENCOE DR, PORT MOODY",morrowgroup@shaw.ca
ANIMALS,DIAMOND IN THE RUFF,Dog Grooming,,604-936-7981,"613 WATERLOO DR, PORT MOODY",whitecliff2@shaw.ca
MEDIA/MUSIC/ART,WEDDING STORY,PHOTOGRAPHER AND GOWN RENTAL,,604-868-3939,"2214 ST JOHNS ST, PORT MOODY",
FOOD & BEVERAGE,ROMER'S,RESTAURANT,,,"7 - 101 MORRISSEY RD, PORT MOODY",
HEALTH,GREEN LIFE ACUPUNCTURE CLINIC,ACUPUNCTURE CLINIC,,778-883-1850,"222 NEWPORT DR, PORT MOODY",greenlifeacuclinic@gmail.com
HEALTH,FARRAH PATRICK,REGISTERED MASSAGE THERAPIST.,,604-812-6207,"2320 CLARKE ST, PORT MOODY",farrah_rmt@hotmail.com
ANIMALS,HEALING PAWS VETERINARY CARE,Veterinarian,,604-461-7297,"102 - 101 KLAHANIE DR, PORT MOODY",admin@healingpawsvet.ca
SPORT/RECREATION/TRAVEL,ORANGETHEORY FITNESS,GROUP FITNESS/PERSONAL TRAINING,,,"11 - 400 CAPILANO RD, PORT MOODY",
BUSINESS SERVICES,CITYSTATE CONSULTING/SILK GALLERY,"Design, Planning and Property Management",,604-816-5399,"2419 CLARKE ST, PORT MOODY",
HEALTH,DENTALOGIC LABORATORIES LTD.,MANUFACTURING OF DENTAL PROSTHESES,,604-492-0276,"2810 SPRING ST, PORT MOODY",jvosorio68@gmail.com
CONTRACTORS,"HI, MRS. PARK",PERSONAL SERVICES,,604-805-8258,"314 - 400 KLAHANIE DR, PORT MOODY",pkmh0611@yahoo.co.kr
MEDIA/MUSIC/ART,MATEO'S MUSIC LESSONS,GUITAR LESSONS.,,604-469-2569,"24 - 241 PARKSIDE DR, PORT MOODY",mateosguitarlesson@gmail.com
HEALTH,ROCKY POINT WELLNESS CLINIC,MULTIDISCIPLINARY WELLNESS CLINIC,,778-355-9777,"2701 CLARKE ST, PORT MOODY",info@rockypointwellness.com
HEALTH,HAYLEY OWENS (AT HEALING CEDAR WELLNESS),NATUROPATHIC PHYSICIAN @ HEALING CEDAR WELLNESS,,604-469-1616,"8 - 3130 ST JOHNS ST, PORT MOODY",drhayleyowens@gmail.com
COMMUNITY SERVICES/EDUCATION,LANGUAGE PASS INTERNATIONAL,EDUCATIONAL SERVICES FOR IMMIGRANTS,,604-417-0009,"777 APPLEYARD CRT, PORT MOODY",VEA0502@GMAIL.COM
HEALTH,TIMBERCREST DENTAL CLINIC,Dental Office,,604-469-1861,"84 TIMBERCREST DR, PORT MOODY",nkahwaji@shaw.ca
BEAUTY/ESTHETICS,MG HAIR SYTLES & DESIGN,HAIRSTYLIST CHAIR RENTAL,,778-558-3483,"2340 ST JOHNS ST, PORT MOODY",MAKLAINE-@HOTMAIL.COM
MEDIA/MUSIC/ART,"MUNRO, ELIZABETH A",MUSIC TEACHER.,,604-937-3117,"1028 GLENAYRE DR, PORT MOODY",lizmunro@telus.net
BANK/FINAN/INSURA,RANGER WEST FINANCIAL AND INSURANCE SERVICES INC.,Financial and Insurance Services,,604-936-2712,"301 - 220 BREW ST, PORT MOODY",
HEALTH,A. KUCA,PSYCHOLOGY SERVICES,,,"468 CULZEAN PL, PORT MOODY",
MEDIA/MUSIC/ART,"MOODY STUDIO, BC SCAPES",Bonsai and Gardening instructor,,604-937-5671,"230 CAMBRIDGE WAY, PORT MOODY",jglover@direct.ca
COMMUNITY SERVICES/EDUCATION,LOVELY FAMILY DAY CARE,DAYCARE.,,604-937-5557,"1476 UNION ST, PORT MOODY",lovelydaycare@hotmail.com
HEALTH,DIAMOND TOOTH STUDIO,"DENTAL SERVICE LAB, REPAIRING DENTURES & ADJUSTMENTS",,604-521-7633,"58 SHORELINE CIR, PORT MOODY",diamondtoothstudio@gmail.com
HEALTH,CUSTOM SLEEP CARE,SLEEP THERAPISTS/CUSTOM SLEEP CARE SOLUTIONS,,778-239-9335,"401 - 290 NEWPORT DR, PORT MOODY",eric@customsleepcare.ca
PROPERTY MGMT/REAL ESTATE,VIDELIA HOLDING INC.,INVESTMENT CORPORATION FOR REAL ESTATE DEVELOPMENT,,778-288-7966,"1115 BARBERRY PL, PORT MOODY",videlia.tt@gmail.com
HEALTH,"DR. S. AMALIA DE WET INC., MD",MEDICAL PRACTIONER @ ROCKY POINT MEDICAL CLINIC,,778-879-2478,"2523 ST JOHNS ST, PORT MOODY",amageo@shaw.ca
SPORT/RECREATION/TRAVEL,MK STUDIO,PERSONAL TRAINING STUDIO @ ULTIMATE FITNESS,,778-863-9063,"3082 ST JOHNS ST, PORT MOODY",
BANK/FINAN/INSURA,SUTER BROOK INSURANCE SERVICES,Insurance Services,,604-469-9355,"162 BREW ST, PORT MOODY",
BUSINESS SERVICES,HOLLIS WEALTH,Financial Planning/Investment Advisory,,604-461-7333,"203 - 101 KLAHANIE DR, PORT MOODY",
FOOD & BEVERAGE,SPACCA NAPOLI,PIZZA RESTAURANT,,604-939-5800,"101 - 2801 ST JOHNS ST, PORT MOODY",dannypero@mac.com
SPORT/RECREATION/TRAVEL,WOORI TOURS,TRAVEL SERVICES.,,604-349-8259,"108 - 3003 ST JOHNS ST, PORT MOODY",mijootour@gmail.com
FOOD & BEVERAGE,SUBWAY,SUBWAY RESTAURANT,,604-461-8069,"6 - 400 CAPILANO RD, PORT MOODY",gary_sull@hotrmail.com
BEAUTY/ESTHETICS,FARIBA MATCHETT,CHAIR RENTAL (HAIR STYLIST),,604-492-0133,"90 KYLE ST, PORT MOODY",
CONTRACTORS,LIMITED EDITION PROTECTION AND SECURITY INC,"EVENT SECURITY, SECURITY PATROL, PRIVATE INVESTIGATION",,604-780-4043,"109 - 3003 ST JOHNS ST, PORT MOODY",info@limitededitionsecurity.com
MEDIA/MUSIC/ART,GRADS BC PHOTOGRAPHY & VIDEO,PHOTOGRAPHY COMPANY - HOME OFFICE,,604-461-3722,"422 IOCO RD, PORT MOODY",info@gradsbc.com
BUSINESS SERVICES,VALUE DRIVERS INC.,ADVISORY SERVICES,,604-374-0267,"39 TIMBERCREST DR, PORT MOODY",don@value-drivers.ca
BEAUTY/ESTHETICS,BLANCA MEDICAL AESTHETICS,MEDICAL AESTHETICS SERVICES - SUGARING CHANGE,,778-833-4816,"3 - 3130 ST JOHNS ST, PORT MOODY",
COMMUNITY SERVICES/EDUCATION,KIDS AT PLAY DAYCARE,BEFORE & AFTER SCHOOL CARE,,604-374-7484,"5 DEERWOOD PL, PORT MOODY",twoliwia@yahoo.ca
FOOD & BEVERAGE,TAPS & TACOS,RESTAURANT,,,"91 MOODY ST, PORT MOODY",
HEALTH,JANELLE LEE REGISTERED MASSAGE THERAPIST,REGISTERED MASSAGE THERAPIST,,604-889-6626,"11 - 3130 ST JOHNS ST, PORT MOODY",JANELLELEE@MAC.COM
HEALTH,DR. PETER Y.K. CHAN INC,Monarch Pediatric Dental Centre,,604-461-4980,"501 - 205 NEWPORT DR, PORT MOODY",
COMMUNITY SERVICES/EDUCATION,BLOCK 8 ACADEMY,BEFORE AND AFTER SCHOOL CARE @ ARTS CENTRE,,778-893-9706,"2425 ST JOHNS ST, PORT MOODY",
COMMUNITY SERVICES/EDUCATION,PUMPKIN PATCH FAMILY DAYCARE,DAYCARE.,,604-931-3901,"1605 GORE ST, PORT MOODY",donnaworoschuk@shaw.ca
HEALTH,EAT FOR LIVING INC.,HOLISTIC NUTRITIONIST,,604-313-6718,"2306 ST JOHNS ST, PORT MOODY",jlloyd@eatforliving.ca
FOOD & BEVERAGE,SUBWAY (423906 BC LTD),SUBWAY RESTAURANT,,604-469-7333,"2 - 2814 ST JOHNS ST, PORT MOODY",bdavies60@hotmail.com
HEALTH,NEWPORT VILLAGE CHIROPRACTIC INC.,Chiropractor,,604-461-2725,"274 NEWPORT DR, PORT MOODY",
FOOD & BEVERAGE,FRESH SLICE PIZZA,PIZZA RESTAURANT,,604-917-0245,"240 NEWPORT DR, PORT MOODY",sam@freshslice.com
RETAIL COMMERCIAL,GABI AND JULES HANDMADE PIES,BAKERY,,604-492-4226,"B - 2302 CLARKE ST, PORT MOODY",lisa@gabiandjules.com
FOOD & BEVERAGE,CASA DOLCE,COFFEE SHOP/CAFE.,,604-461-7888,"252 NEWPORT DR, PORT MOODY",
RETAIL COMMERCIAL,VAPETRUNK COMPANY,ELECTRONIC CIGARETTE RETAIL STORE,,,"7 - 3130 ST JOHNS ST, PORT MOODY",pomovape@gmail.com
BEAUTY/ESTHETICS,HAIRBYMONIKA.Q,SINGLE CHAIR RENTAL - HAIR STYLIST,,,"2520 ST JOHNS ST, PORT MOODY",
HEALTH,ADVANCED HEALING ARTS INC.,Acupuncture/Massage/Chiropractic Office,,604-944-6606,"202 - 2615 ST JOHNS ST, PORT MOODY",
RETAIL COMMERCIAL,HARMONY GOLD LTD.,Art/Hobby/Floral/Gift,,604-824-1066,"6 MOSSOM CREEK DR, PORT MOODY",
BEAUTY/ESTHETICS,ELIZABETH ESTHETICS,Esthetics,,604-469-1974,"710 IOCO RD, PORT MOODY",
FOOD & BEVERAGE,D&D FOOD SERVICES LTD.,PIZZA PICK-UP & DELIVERY,,604-469-8448,"2818 ST JOHNS ST, PORT MOODY",
FOOD & BEVERAGE,HENRY'S KITCHEN LTD. (RESTAURANT),FOOD AND BEVERAGE SERVICES (RESTAURANT),,778-355-8787,"2410 ST JOHNS ST, PORT MOODY",henryskitchen@hotmail.com
HEALTH,EVERGREEN SPEECH & LANGUAGE THERAPY,SPEECH THERAPIST.,,604-315-6468,"2226 ST JOHNS ST, PORT MOODY",arlene@evergreenspeech.com
HEALTH,NEWPORT MEDICAL CLINIC,Doctors Office,,604-461-0016,"100 - 205 NEWPORT DR, PORT MOODY",newportclinic@yahoo.com
